Largos Medios de Colas - Time Weigthed Histogram
procesed = 37503.7
mean = 59.3497	variance = 621.577	sd = 24.9315
minX = 0	maxX = 114
minY = 6.55646	maxY = 852.331

       0   554.877
  0.0228         0
  0.0456         0
  0.0684         0
  0.0912         0
   0.114         0
  0.1368         0
  0.1596         0
  0.1824         0
  0.2052         0
   0.228         0
  0.2508         0
  0.2736         0
  0.2964         0
  0.3192         0
   0.342         0
  0.3648         0
  0.3876         0
  0.4104         0
  0.4332         0
   0.456         0
  0.4788         0
  0.5016         0
  0.5244         0
  0.5472         0
    0.57         0
  0.5928         0
  0.6156         0
  0.6384         0
  0.6612         0
   0.684         0
  0.7068         0
  0.7296         0
  0.7524         0
  0.7752         0
   0.798         0
  0.8208         0
  0.8436         0
  0.8664         0
  0.8892         0
   0.912         0
  0.9348         0
  0.9576         0
  0.9804   108.834
  1.0032         0
   1.026         0
  1.0488         0
  1.0716         0
  1.0944         0
  1.1172         0
    1.14         0
  1.1628         0
  1.1856         0
  1.2084         0
  1.2312         0
   1.254         0
  1.2768         0
  1.2996         0
  1.3224         0
  1.3452         0
   1.368         0
  1.3908         0
  1.4136         0
  1.4364         0
  1.4592         0
   1.482         0
  1.5048         0
  1.5276         0
  1.5504         0
  1.5732         0
   1.596         0
  1.6188         0
  1.6416         0
  1.6644         0
  1.6872         0
    1.71         0
  1.7328         0
  1.7556         0
  1.7784         0
  1.8012         0
   1.824         0
  1.8468         0
  1.8696         0
  1.8924         0
  1.9152         0
   1.938         0
  1.9608         0
  1.9836   136.795
  2.0064         0
  2.0292         0
   2.052         0
  2.0748         0
  2.0976         0
  2.1204         0
  2.1432         0
   2.166         0
  2.1888         0
  2.2116         0
  2.2344         0
  2.2572         0
    2.28         0
  2.3028         0
  2.3256         0
  2.3484         0
  2.3712         0
   2.394         0
  2.4168         0
  2.4396         0
  2.4624         0
  2.4852         0
   2.508         0
  2.5308         0
  2.5536         0
  2.5764         0
  2.5992         0
   2.622         0
  2.6448         0
  2.6676         0
  2.6904         0
  2.7132         0
   2.736         0
  2.7588         0
  2.7816         0
  2.8044         0
  2.8272         0
    2.85         0
  2.8728         0
  2.8956         0
  2.9184         0
  2.9412         0
   2.964         0
  2.9868    123.74
  3.0096         0
  3.0324         0
  3.0552         0
   3.078         0
  3.1008         0
  3.1236         0
  3.1464         0
  3.1692         0
   3.192         0
  3.2148         0
  3.2376         0
  3.2604         0
  3.2832         0
   3.306         0
  3.3288         0
  3.3516         0
  3.3744         0
  3.3972         0
    3.42         0
  3.4428         0
  3.4656         0
  3.4884         0
  3.5112         0
   3.534         0
  3.5568         0
  3.5796         0
  3.6024         0
  3.6252         0
   3.648         0
  3.6708         0
  3.6936         0
  3.7164         0
  3.7392         0
   3.762         0
  3.7848         0
  3.8076         0
  3.8304         0
  3.8532         0
   3.876         0
  3.8988         0
  3.9216         0
  3.9444         0
  3.9672         0
    3.99   147.901
  4.0128         0
  4.0356         0
  4.0584         0
  4.0812         0
   4.104         0
  4.1268         0
  4.1496         0
  4.1724         0
  4.1952         0
   4.218         0
  4.2408         0
  4.2636         0
  4.2864         0
  4.3092         0
   4.332         0
  4.3548         0
  4.3776         0
  4.4004         0
  4.4232         0
   4.446         0
  4.4688         0
  4.4916         0
  4.5144         0
