Tiempos de Espera - Observation Histogram
procesed = 6194
mean = 357.3	variance = 21807.1	sd = 147.672
minX = 0	maxX = 653.214
minY = 1	maxY = 70

       0        70
0.130643         0
0.261286         0
0.391928         0
0.522571         0
0.653214         0
0.783857         0
0.914499         0
 1.04514         1
 1.17578         0
 1.30643         0
 1.43707         0
 1.56771         0
 1.69836         0
   1.829         0
 1.95964         0
 2.09028         0
 2.22093         0
 2.35157         0
 2.48221         0
 2.61286         0
  2.7435         0
 2.87414         0
 3.00478         1
 3.13543         0
 3.26607         1
 3.39671         0
 3.52735         2
   3.658         0
 3.78864         1
 3.91928         0
 4.04993         0
 4.18057         1
 4.31121         0
 4.44185         0
  4.5725         0
 4.70314         0
 4.83378         0
 4.96442         0
 5.09507         0
 5.22571         0
 5.35635         0
   5.487         1
 5.61764         0
 5.74828         0
 5.87892         0
 6.00957         0
 6.14021         1
 6.27085         1
  6.4015         0
 6.53214         0
 6.66278         0
 6.79342         0
 6.92407         0
 7.05471         1
 7.18535         1
 7.31599         0
 7.44664         1
 7.57728         1
 7.70792         0
 7.83857         1
 7.96921         1
 8.09985         0
 8.23049         1
 8.36114         0
 8.49178         0
 8.62242         1
 8.75306         0
 8.88371         1
 9.01435         0
 9.14499         0
 9.27564         1
 9.40628         0
 9.53692         0
 9.66756         1
 9.79821         1
 9.92885         0
 10.0595         1
 10.1901         1
 10.3208         1
 10.4514         0
 10.5821         1
 10.7127         0
 10.8433         1
  10.974         0
 11.1046         0
 11.2353         1
 11.3659         0
 11.4966         1
 11.6272         0
 11.7578         1
 11.8885         1
 12.0191         0
 12.1498         0
 12.2804         0
 12.4111         0
 12.5417         0
 12.6723         0
  12.803         2
 12.9336         1
 13.0643         0
 13.1949         1
 13.3256         1
 13.4562         0
 13.5868         0
 13.7175         0
 13.8481         0
 13.9788         0
 14.1094         0
 14.2401         0
 14.3707         0
 14.5013         0
  14.632         1
 14.7626         0
 14.8933         0
 15.0239         1
 15.1546         1
 15.2852         1
 15.4158         0
 15.5465         0
 15.6771         0
 15.8078         2
 15.9384         1
 16.0691         0
 16.1997         1
 16.3303         2
  16.461         0
 16.5916         0
 16.7223         1
 16.8529         0
 16.9836         0
 17.1142         0
 17.2448         0
 17.3755         0
 17.5061         1
 17.6368         0
 17.7674         0
 17.8981         0
 18.0287         0
 18.1593         2
   18.29         0
 18.4206         0
 18.5513         0
 18.6819         0
 18.8126         0
 18.9432         0
 19.0738         0
 19.2045         1
 19.3351         0
 19.4658         0
 19.5964         1
 19.7271         2
 19.8577         0
 19.9883         1
  20.119         2
 20.2496         0
 20.3803         3
 20.5109         2
 20.6416         0
 20.7722         0
 20.9028         1
 21.0335         2
 21.1641         0
 21.2948         0
 21.4254         0
 21.5561         0
 21.6867         1
 21.8173         2
  21.948         0
 22.0786         0
 22.2093         1
 22.3399         1
 22.4706         1
 22.6012         3
 22.7318         2
 22.8625         0
 22.9931         2
 23.1238         0
 23.2544         3
 23.3851         1
 23.5157         0
 23.6463         0
  23.777         0
 23.9076         0
 24.0383         0
 24.1689         0
 24.2996         1
 24.4302         0
 24.5608         0
 24.6915         0
 24.8221         1
 24.9528         0
 25.0834         1
 25.2141         0
 25.3447         0
 25.4753         0
  25.606         0
 25.7366         1
 25.8673         0
 25.9979         1
 26.1286         2
 26.2592         0
 26.3898         0
 26.5205         1
 26.6511         1
 26.7818         2
 26.9124         0
 27.0431         0
 27.1737         0
 27.3043         0
  27.435         0
 27.5656         0
 27.6963         0
 27.8269         0
 27.9575         0
 28.0882         2
 28.2188         0
 28.3495         0
 28.4801         1
 28.6108         1
 28.7414         1
  28.872         1
 29.0027         0
 29.1333         0
  29.264         2
 29.3946         0
 29.5253         0
 29.6559         0
 29.7865         0
 29.9172         0
 30.0478         2
 30.1785         3
 30.3091         0
 30.4398         0
 30.5704         0
  30.701         1
 30.8317         0
 30.9623         1
  31.093         0
 31.2236         0
 31.3543         0
 31.4849         1
 31.6155         1
 31.7462         0
 31.8768         1
 32.0075         1
 32.1381         0
 32.2688         3
 32.3994         1
   32.53         0
 32.6607         1
 32.7913         0
  32.922         0
 33.0526         0
 33.1833         0
 33.3139         0
 33.4445         2
 33.5752         0
 33.7058         1
 33.8365         0
 33.9671         1
 34.0978         0
 34.2284         0
  34.359         2
 34.4897         1
 34.6203         0
  34.751         0
 34.8816         0
 35.0123         0
 35.1429         0
 35.2735         0
 35.4042         0
 35.5348         2
 35.6655         1
 35.7961         0
 35.9268         0
 36.0574         1
  36.188         0
 36.3187         0
 36.4493         0
   36.58         0
 36.7106         0
 36.8413         1
 36.9719         0
 37.1025         0
 37.2332         1
 37.3638         1
 37.4945         0
 37.6251         0
 37.7558         0
 37.8864         1
  38.017         0
 38.1477         0
 38.2783         0
  38.409         1
 38.5396         0
 38.6703         0
 38.8009         2
 38.9315         1
 39.0622         0
 39.1928         0
 39.3235         0
 39.4541         0
 39.5848         0
 39.7154         0
  39.846         0
 39.9767         0
 40.1073         1
  40.238         0
 40.3686         0
 40.4993         1
 40.6299         1
 40.7605         1
 40.8912         1
 41.0218         2
 41.1525         0
 41.2831         0
 41.4138         1
 41.5444         1
  41.675         1
 41.8057         0
 41.9363         1
  42.067         0
 42.1976         0
 42.3283         1
 42.4589         0
 42.5895         0
 42.7202         1
 42.8508         0
 42.9815         0
 43.1121         1
 43.2428         1
 43.3734         0
  43.504         0
 43.6347         0
 43.7653         0
  43.896         0
 44.0266         0
 44.1573         0
 44.2879         0
 44.4185         1
 44.5492         0
 44.6798         0
 44.8105         0
 44.9411         0
 45.0718         0
 45.2024         0
  45.333         0
 45.4637         0
 45.5943         0
  45.725         0
 45.8556         0
 45.9862         1
 46.1169         0
 46.2475         0
 46.3782         1
 46.5088         0
 46.6395         0
 46.7701         0
 46.9007         1
 47.0314         0
  47.162         0
 47.2927         0
 47.4233         1
  47.554         1
 47.6846         1
 47.8152         0
 47.9459         0
 48.0765         0
 48.2072         1
 48.3378         0
 48.4685         2
 48.5991         1
 48.7297         1
 48.8604         1
  48.991         0
 49.1217         1
 49.2523         0
  49.383         0
 49.5136         0
 49.6442         0
 49.7749         1
 49.9055         0
 50.0362         0
 50.1668         1
 50.2975         2
 50.4281         0
 50.5587         0
 50.6894         1
   50.82         1
 50.9507         0
 51.0813         1
  51.212         1
 51.3426         0
 51.4732         1
 51.6039         0
 51.7345         1
 51.8652         0
 51.9958         1
 52.1265         1
 52.2571         1
 52.3877         0
 52.5184         1
  52.649         2
 52.7797         1
 52.9103         0
  53.041         0
 53.1716         0
 53.3022         1
 53.4329         0
 53.5635         0
 53.6942         0
 53.8248         1
 53.9555         1
 54.0861         0
 54.2167         0
 54.3474         0
  54.478         0
 54.6087         4
 54.7393         1
   54.87         0
 55.0006         0
 55.1312         1
 55.2619         0
 55.3925         0
 55.5232         1
 55.6538         0
 55.7845         0
 55.9151         0
 56.0457         0
 56.1764         0
  56.307         1
 56.4377         0
 56.5683         1
  56.699         0
 56.8296         2
 56.9602         0
 57.0909         1
 57.2215         1
 57.3522         2
 57.4828         2
 57.6135         0
 57.7441         1
 57.8747         2
 58.0054         1
  58.136         3
 58.2667         1
 58.3973         2
  58.528         1
 58.6586         3
 58.7892         0
 58.9199         1
 59.0505         1
 59.1812         0
 59.3118         1
 59.4425         2
 59.5731         1
 59.7037         2
 59.8344         2
  59.965         0
 60.0957         0
 60.2263         0
  60.357         2
 60.4876         0
 60.6182         1
 60.7489         2
 60.8795         1
 61.0102         0
 61.1408         1
 61.2715         0
 61.4021         0
 61.5327         2
 61.6634         0
  61.794         0
 61.9247         0
 62.0553         2
  62.186         0
 62.3166         0
 62.4472         2
 62.5779         2
 62.7085         3
 62.8392         1
 62.9698         2
 63.1005         2
 63.2311         0
 63.3617         1
 63.4924         2
  63.623         2
 63.7537         1
 63.8843         0
  64.015         1
 64.1456         1
 64.2762         0
 64.4069         1
 64.5375         1
 64.6682         0
 64.7988         0
 64.9294         0
 65.0601         1
 65.1907         2
 65.3214         1
  65.452         0
 65.5827         2
 65.7133         0
 65.8439         2
 65.9746         0
 66.1052         1
 66.2359         1
 66.3665         0
 66.4972         2
 66.6278         0
 66.7584         2
 66.8891         0
 67.0197         0
 67.1504         0
  67.281         2
 67.4117         0
 67.5423         0
 67.6729         1
 67.8036         1
 67.9342         0
 68.0649         3
 68.1955         0
 68.3262         1
 68.4568         1
 68.5874         0
 68.7181         2
 68.8487         0
 68.9794         0
   69.11         0
 69.2407         1
 69.3713         1
 69.5019         2
 69.6326         2
 69.7632         0
 69.8939         2
 70.0245         0
 70.1552         1
 70.2858         0
 70.4164         0
 70.5471         1
 70.6777         0
 70.8084         2
  70.939         1
 71.0697         0
 71.2003         1
 71.3309         1
 71.4616         1
 71.5922         0
 71.7229         1
 71.8535         0
 71.9842         0
 72.1148         0
 72.2454         0
 72.3761         0
 72.5067         0
 72.6374         0
  72.768         1
 72.8987         1
 73.0293         0
 73.1599         1
 73.2906         1
 73.4212         0
 73.5519         1
 73.6825         0
 73.8132         2
 73.9438         0
 74.0744         0
 74.2051         1
 74.3357         1
 74.4664         0
  74.597         0
 74.7277         2
 74.8583         0
 74.9889         1
 75.1196         0
 75.2502         0
 75.3809         0
 75.5115         0
 75.6422         1
 75.7728         1
 75.9034         1
 76.0341         1
 76.1647         0
 76.2954         0
  76.426         1
 76.5567         1
 76.6873         2
 76.8179         1
 76.9486         1
 77.0792         0
 77.2099         1
 77.3405         3
 77.4712         0
 77.6018         2
 77.7324         0
 77.8631         0
 77.9937         0
 78.1244         0
  78.255         1
 78.3857         1
 78.5163         1
 78.6469         0
 78.7776         1
 78.9082         0
 79.0389         1
 79.1695         0
 79.3002         0
 79.4308         1
 79.5614         0
