Tiempo Espera Global - Observation Histogram
procesed = 11373
mean = 13.2645	variance = 137.727	sd = 11.7357
minX = 0	maxX = 87.4491
minY = 1	maxY = 638

       0       638
0.874491       566
 1.74898       526
 2.62347       506
 3.49796       509
 4.37245       476
 5.24695       450
 6.12144       442
 6.99593       411
 7.87042       420
 8.74491       399
  9.6194       359
 10.4939       380
 11.3684       347
 12.2429       344
 13.1174       326
 13.9919       323
 14.8663       283
 15.7408       281
 16.6153       279
 17.4898       230
 18.3643       250
 19.2388       225
 20.1133       180
 20.9878       142
 21.8623       173
 22.7368       160
 23.6113       148
 24.4857       138
 25.3602       106
 26.2347       124
 27.1092        95
 27.9837       118
 28.8582        93
 29.7327        63
 30.6072        59
 31.4817        48
 32.3562        48
 33.2307        59
 34.1051        43
 34.9796        29
 35.8541        33
 36.7286        16
 37.6031        34
 38.4776        23
 39.3521        25
 40.2266        28
 41.1011        23
 41.9756        26
 42.8501        22
 43.7245        16
  44.599        23
 45.4735        25
  46.348        13
 47.2225        17
  48.097        20
 48.9715        17
  49.846        23
 50.7205        17
  51.595        11
 52.4695        19
 53.3439        14
 54.2184        13
 55.0929        11
 55.9674        21
 56.8419         9
 57.7164        16
 58.5909         8
 59.4654         7
 60.3399         5
 61.2144         1
 62.0889         4
 62.9633         1
 63.8378         2
 64.7123         5
 65.5868         2
 66.4613         1
 67.3358         2
 68.2103         6
 69.0848         3
 69.9593         1
 70.8338         6
 71.7083         0
 72.5827         0
 73.4572         1
 74.3317         0
 75.2062         1
 76.0807         0
 76.9552         0
 77.8297         1
 78.7042         0
 79.5787         0
 80.4532         0
 81.3277         0
 82.2021         0
 83.0766         1
 83.9511         0
 84.8256         0
 85.7001         0
 86.5746         4
