Tiempo Espera Global - Observation Histogram
procesed = 15499
mean = 13.1022	variance = 133.753	sd = 11.5651
minX = 0	maxX = 105.913
minY = 1	maxY = 970

       0       970
 1.05913       966
 2.11827       867
  3.1774       861
 4.23654       754
 5.29567       781
 6.35481       663
 7.41394       645
 8.47308       630
 9.53221       609
 10.5913       662
 11.6505       601
 12.7096       558
 13.7688       549
 14.8279       514
  15.887       501
 16.9462       454
 18.0053       428
 19.0644       399
 20.1236       299
 21.1827       266
 22.2418       234
  23.301       240
 24.3601       231
 25.4192       157
 26.4784       181
 27.5375       169
 28.5966       150
 29.6558        92
 30.7149        74
  31.774        71
 32.8332        53
 33.8923        62
 34.9515        50
 36.0106        48
 37.0697        56
 38.1289        45
  39.188        30
 40.2471        36
 41.3063        34
 42.3654        34
 43.4245        42
 44.4837        37
 45.5428        36
 46.6019        32
 47.6611        23
 48.7202        37
 49.7793        30
 50.8385        28
 51.8976        20
 52.9567        17
 54.0159        25
  55.075        21
 56.1342        30
 57.1933        21
 58.2524        13
 59.3116         4
 60.3707         5
 61.4298         5
  62.489         5
 63.5481         8
 64.6072         5
 65.6664         2
 66.7255         1
 67.7846         4
 68.8438         0
 69.9029         2
  70.962         1
 72.0212         0
 73.0803         1
 74.1394         1
 75.1986         0
 76.2577         0
 77.3169         0
  78.376         0
 79.4351         0
 80.4943         2
 81.5534         6
 82.6125         0
 83.6717         0
 84.7308         4
 85.7899         0
 86.8491         0
 87.9082         0
 88.9673         0
 90.0265         0
 91.0856         0
 92.1447         0
 93.2039         0
  94.263         0
 95.3221         0
 96.3813         1
 97.4404         0
 98.4996         1
 99.5587         0
 100.618         1
 101.677         0
 102.736         0
 103.795         0
 104.854         4
